radical	meaning_vi	contexts	words	mnemonic	review_prompt
止	dừng lại, chân	đúng/sai; logic; kết thúc	正 (zhèng) - đúng/chính; 因此 (yīncǐ) - vì vậy; 真正 (zhēnzhèng) - thực sự	止 như dấu chân dừng tại chỗ.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
立	đứng, thiết lập	đứng lên; thân phận; xây dựng	站 (zhàn) - đứng; 建立 (jiànlì) - thiết lập; 独立 (dúlì) - độc lập	立 là người đứng thẳng trên nền đất.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
寸	đơn vị nhỏ, bàn tay đo	đối chiếu; chuẩn xác; vị trí gần	对 (duì) - đúng/đối với; 对于 (duìyú) - đối với; 面对 (miànduì) - đối mặt	寸 như bàn tay cầm thước đo.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
无	không có	phủ định; giới hạn; cảm giác trống	无法 (wúfǎ) - không thể; 无聊 (wúliáo) - chán; 无论 (wúlùn) - bất luận	无 là hình “không nắm được gì”.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
入	vào, nhập	không gian; dữ liệu; trạng thái	进入 (jìnrù) - đi vào; 收入 (shōurù) - thu nhập; 内 (nèi) - bên trong	入 là mũi tên chui vào trong.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
夂	đi chậm từ trên xuống	xử lý; chuẩn bị; nhiệm vụ	处理 (chǔlǐ) - xử lý; 准备 (zhǔnbèi) - chuẩn bị; 任务 (rènwu) - nhiệm vụ	夂 là bước chân đi chậm cuối ngày.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
牛	trâu/bò	động vật; tính đặc biệt; sức kéo	特别 (tèbié) - đặc biệt; 牛奶 (niúnǎi) - sữa bò; 动物 (dòngwù) - động vật	牛 có sừng ngang phía trên.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
方	hướng/cách (mức nâng cao)	chiến lược; phương án; bối cảnh	方式 (fāngshì) - phương thức; 方法 (fāngfǎ) - phương pháp; 方面 (fāngmiàn) - mặt/phương diện	Ở cấp cao, 方 thường xuất hiện trong từ trừu tượng.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
行	đi, hàng, thực thi	thực hiện; hành vi; ngành	进行 (jìnxíng) - tiến hành; 行为 (xíngwéi) - hành vi; 银行 (yínháng) - ngân hàng	行 là giao lộ hai hướng.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
面	mặt, bề mặt	vị trí; quan điểm; giao tiếp đối diện	方面 (fāngmiàn) - phương diện; 面对 (miànduì) - đối mặt; 表面 (biǎomiàn) - bề mặt	面 như khuôn mặt nhìn thẳng.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
自	tự bản thân	tự chủ; nguồn gốc; đại từ phản thân	自己 (zìjǐ) - bản thân; 来自 (láizì) - đến từ; 自由 (zìyóu) - tự do	自 vốn là hình mũi, chỉ “chính mình”.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
马	ngựa	di chuyển nhanh; hành động ngay; kinh nghiệm	马上 (mǎshàng) - ngay lập tức; 经验 (jīngyàn) - kinh nghiệm; 实验 (shíyàn) - thí nghiệm	马 như đầu-ngực-đuôi ngựa cách điệu.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
彡	vân/đường nét trang trí	hình dạng; ảnh hưởng; màu sắc	影响 (yǐngxiǎng) - ảnh hưởng; 形象 (xíngxiàng) - hình tượng; 精彩 (jīngcǎi) - đặc sắc	彡 là ba nét lông/sọc.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
角	góc, sừng, vai trò	giải quyết; vai trò; quan điểm	解决 (jiějué) - giải quyết; 了解 (liǎojiě) - hiểu rõ; 角色 (juésè) - vai trò	角 như sừng và đầu thú nhìn nghiêng.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
风	gió, phong cách	thời tiết; rủi ro; phong cảnh	风景 (fēngjǐng) - phong cảnh; 风险 (fēngxiǎn) - rủi ro; 风格 (fēnggé) - phong cách	风 là luồng gió xoáy vào trong.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
身	thân thể	trạng thái cá nhân; thân phận; hành vi cơ thể	身份 (shēnfèn) - thân phận; 本身 (běnshēn) - bản thân; 单身 (dānshēn) - độc thân	身 như phần thân người nghiêng.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
羊	dê/cừu	cái đẹp; nhóm; hoàn mỹ	美丽 (měilì) - đẹp; 美元 (Měiyuán) - đô la Mỹ; 完美 (wánměi) - hoàn hảo	羊 có cặp sừng đối xứng phía trên.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
示	chỉ ra, hiển thị	thông báo; trình bày; tín hiệu	表示 (biǎoshì) - biểu thị; 显示 (xiǎnshì) - hiển thị; 展示 (zhǎnshì) - trưng bày	示 là bàn thờ/biểu tượng để “chỉ cho thấy”.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
矢	mũi tên	kiến thức; thông báo; đo độ chính xác	知识 (zhīshi) - kiến thức; 通知 (tōngzhī) - thông báo; 短 (duǎn) - ngắn	矢 là mũi tên bắn thẳng, gợi độ chính xác.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
长	dài / trưởng	thời gian dài; tăng trưởng; chức vụ	成长 (chéngzhǎng) - trưởng thành; 长期 (chángqī) - dài hạn; 校长 (xiàozhǎng) - hiệu trưởng	长 là nét kéo dài, vừa nghĩa “dài” vừa nghĩa “trưởng”.	Nhìn bộ thủ -> nói 2 từ liên quan + đặt 1 câu ngắn
